Date,Time,Sample Period,Sample Volume,Sample Units,Count Mode,Concentration Mode,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Mode,Location Name,Sample Number,Cal. Value,Laser Current,0.3um (Cum. Counts),0.5um (Cum. Counts),1.0um (Cum. Counts),2.0um (Cum. Counts),5.0um (Cum. Counts),10.0um (Cum. Counts),Cal Alarm,Flow Alarm,Over Conc. Alarm,System Alarm,Count Alarm,Battery Alarm,Laser Alarm
2018/7/15,10:17:58,0:00:01,0.05,L,Dif.,Counts/L,20660,1200,200,100,0,0,Automatic,Line16,24,2.7,54.5,1108,75,15,5,0,0,1,0,0,0,0,0,0
2018/7/15,10:17:59,0:00:01,0.05,L,Dif.,Counts/L,19580,1000,360,140,20,0,Automatic,Line16,25,2.7,54.5,1055,76,26,8,1,0,1,0,0,0,0,0,0
2018/7/15,10:18:00,0:00:01,0.05,L,Dif.,Counts/L,19280,1060,360,240,20,0,Automatic,Line16,26,2.72,54.5,1048,84,31,13,1,0,1,0,0,0,0,0,0
2018/7/15,10:18:01,0:00:01,0.05,L,Dif.,Counts/L,20700,1040,220,140,0,0,Automatic,Line16,27,2.76,54.5,1105,70,18,7,0,0,1,0,0,0,0,0,0
2018/7/15,10:18:02,0:00:01,0.05,L,Dif.,Counts/L,19400,1080,380,280,0,0,Automatic,Line16,28,2.75,54.5,1057,87,33,14,0,0,1,0,0,0,0,0,0
2018/7/15,10:18:03,0:00:01,0.05,L,Dif.,Counts/L,20260,1020,260,160,20,0,Automatic,Line16,29,2.74,54.5,1086,73,22,9,1,0,1,0,0,0,0,0,0
2018/7/15,10:18:04,0:00:01,0.05,L,Dif.,Counts/L,19360,840,420,200,0,0,Automatic,Line16,30,2.74,54.5,1041,73,31,10,0,0,1,0,0,0,0,0,0
2018/7/15,10:18:05,0:00:01,0.05,L,Dif.,Counts/L,19660,1120,200,260,20,0,Automatic,Line16,31,2.72,54.5,1063,80,24,14,1,0,1,0,0,0,0,0,0
2018/7/15,10:18:06,0:00:01,0.05,L,Dif.,Counts/L,19300,1260,240,240,20,0,Automatic,Line16,32,2.68,54.6,1053,88,25,13,1,0,1,0,0,0,0,0,0
2018/7/15,10:18:07,0:00:01,0.05,L,Dif.,Counts/L,20640,920,180,160,0,0,Automatic,Line16,33,2.67,54.6,1095,63,17,8,0,0,1,0,0,0,0,0,0
2018/7/15,10:18:08,0:00:01,0.05,L,Dif.,Counts/L,20060,960,180,340,0,20,Automatic,Line16,34,2.68,54.5,1078,75,27,18,1,1,1,0,0,0,0,0,0
2018/7/15,10:18:09,0:00:01,0.05,L,Dif.,Counts/L,19560,940,380,280,20,0,Automatic,Line16,35,2.68,54.5,1059,81,34,15,1,0,1,0,0,0,0,0,0
2018/7/15,10:18:10,0:00:01,0.05,L,Dif.,Counts/L,18760,1000,380,240,0,0,Automatic,Line16,36,2.68,54.5,1019,81,31,12,0,0,1,0,0,0,0,0,0
