1
,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
221,11220,960.0,140,260.0,40.0,0.0,139
222,10600,640.0,180,220.0,0.0,0.0,140
223,11340,1260.0,360,160.0,20.0,0.0,141
224,11000,720.0,220,220.0,40.0,0.0,142
225,11160,580.0,200,280.0,80.0,0.0,143
226,10640,780.0,140,140.0,0.0,0.0,144
227,11300,1000.0,340,40.0,20.0,0.0,145
228,11500,840.0,220,360.0,20.0,0.0,146
229,10960,980.0,220,140.0,0.0,0.0,147
230,11260,820.0,300,120.0,40.0,0.0,148
231,11700,920.0,260,300.0,40.0,0.0,149
232,10900,860.0,180,420.0,20.0,20.0,150
233,10780,920.0,120,240.0,40.0,0.0,151
234,11100,860.0,220,160.0,60.0,0.0,152
235,10860,760.0,320,160.0,40.0,0.0,153
236,10500,1240.0,380,240.0,0.0,0.0,154
237,10440,1200.0,260,260.0,40.0,0.0,155
238,12520,,400,,20.0,20.0,156
239,12700,1460.0,220,160.0,0.0,0.0,157
240,10980,760.0,260,240.0,20.0,0.0,158
241,11740,1040.0,200,260.0,0.0,0.0,159
242,11500,920.0,300,220.0,20.0,0.0,160
243,11460,880.0,300,200.0,0.0,0.0,161
244,10220,1180.0,160,360.0,80.0,0.0,162
245,10900,820.0,160,200.0,0.0,0.0,163
246,10740,900.0,280,220.0,0.0,0.0,164
247,11980,1380.0,120,180.0,20.0,0.0,165
248,12400,1240.0,460,340.0,0.0,20.0,166
249,10900,820.0,260,320.0,60.0,0.0,167
250,11200,1100.0,320,220.0,40.0,20.0,168
251,10000,980.0,300,140.0,20.0,0.0,169
252,11780,780.0,340,140.0,0.0,20.0,170
253,11680,800.0,240,260.0,0.0,0.0,171
254,10840,1020.0,180,140.0,20.0,0.0,172
255,11220,860.0,240,260.0,40.0,0.0,173
256,10740,1020.0,320,180.0,20.0,,174
257,11200,700.0,280,160.0,40.0,20.0,175
258,10340,720.0,340,80.0,0.0,0.0,176
259,11120,700.0,200,300.0,20.0,0.0,177
260,9980,940.0,240,200.0,20.0,0.0,178
261,10500,660.0,180,120.0,0.0,0.0,179
262,10700,900.0,200,380.0,60.0,,180
263,9740,1060.0,100,200.0,60.0,0.0,181
264,10820,700.0,280,300.0,0.0,0.0,182
265,10320,780.0,120,140.0,0.0,0.0,183
266,11360,1040.0,320,340.0,0.0,0.0,184
267,10560,880.0,320,220.0,0.0,0.0,185
268,10240,960.0,220,260.0,0.0,0.0,186
269,11540,880.0,180,100.0,20.0,0.0,187
mean, 11653.903743315508, 965.0537634408602, 260.10695187165777, 228.75675675675674, 22.903225806451612, 3.6666666666666665, 94.0
max, 13940.0,1460.0,460.0,440.0,80.0,20.0,187.0
min, 9680.0,580.0,80.0,40.0,0.0,0.0,1.0
std, 849.1914252430616,172.58056422413884,81.74172086460055,81.39457218223188,20.64268184762457,7.760377805696765,54.12639528609555
median, 11680.0,940.0,260.0,220.0,20.0,0.0,94.0
3
,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,Sample Number
270,9380.0,920.0,140.0,300.0,0.0,0.0,1
271,9080.0,980.0,220.0,280.0,20.0,0.0,2
272,9540.0,800.0,160.0,220.0,40.0,0.0,3
273,9940.0,700.0,300.0,80.0,0.0,0.0,4
274,10380.0,780.0,220.0,140.0,40.0,0.0,5
275,9440.0,700.0,120.0,180.0,40.0,0.0,6
276,10040.0,720.0,300.0,160.0,0.0,0.0,7
277,10660.0,1100.0,200.0,160.0,0.0,0.0,8
278,10700.0,900.0,180.0,160.0,20.0,0.0,9
279,10500.0,480.0,180.0,220.0,20.0,0.0,10
280,10160.0,860.0,220.0,260.0,0.0,0.0,11
281,9880.0,800.0,220.0,480.0,60.0,,12
282,9860.0,1020.0,280.0,220.0,0.0,0.0,13
283,,1400.0,580.0,400.0,80.0,0.0,14
284,,,,,60.0,20.0,15
285,12580.0,1280.0,220.0,260.0,60.0,20.0,16
286,,1880.0,460.0,480.0,40.0,0.0,17
287,12100.0,1580.0,580.0,360.0,,20.0,18
288,11780.0,1500.0,480.0,440.0,20.0,20.0,19
289,10800.0,1360.0,280.0,400.0,40.0,0.0,20
290,11620.0,1260.0,500.0,440.0,80.0,,21
291,11840.0,1300.0,500.0,500.0,60.0,0.0,22
292,12240.0,,,540.0,20.0,0.0,23
293,12620.0,,,580.0,60.0,0.0,24
294,12880.0,1600.0,600.0,,80.0,0.0,25
295,11660.0,1800.0,640.0,520.0,40.0,0.0,26
296,11760.0,1540.0,400.0,300.0,20.0,0.0,27
297,11740.0,1620.0,340.0,420.0,40.0,20.0,28
298,10340.0,880.0,140.0,120.0,20.0,0.0,29
299,10100.0,640.0,280.0,100.0,40.0,0.0,30
300,10140.0,600.0,220.0,180.0,0.0,0.0,31
301,10740.0,1140.0,360.0,240.0,40.0,0.0,32
302,10300.0,1020.0,320.0,460.0,20.0,20.0,33
303,10540.0,1420.0,340.0,320.0,0.0,0.0,34
304,10920.0,820.0,220.0,380.0,60.0,0.0,35
305,10280.0,1020.0,200.0,300.0,40.0,20.0,36
306,10000.0,1120.0,260.0,220.0,0.0,0.0,37
307,10080.0,1280.0,140.0,240.0,0.0,0.0,38
308,10200.0,720.0,360.0,220.0,0.0,0.0,39
309,9520.0,1000.0,320.0,280.0,40.0,0.0,40
310,9780.0,1240.0,260.0,320.0,20.0,0.0,41
311,10900.0,780.0,240.0,160.0,0.0,0.0,42
312,10620.0,1040.0,180.0,180.0,20.0,0.0,43
313,11120.0,980.0,220.0,180.0,0.0,20.0,44
314,10100.0,860.0,260.0,240.0,20.0,0.0,45
315,10560.0,1000.0,280.0,180.0,0.0,0.0,46
316,10220.0,940.0,280.0,120.0,60.0,0.0,47
317,10060.0,1040.0,140.0,220.0,0.0,0.0,48
318,10440.0,880.0,160.0,320.0,0.0,0.0,49
319,10160.0,1000.0,240.0,300.0,0.0,0.0,50
320,9680.0,720.0,340.0,260.0,0.0,0.0,51
321,9820.0,1020.0,140.0,140.0,20.0,0.0,52
322,10060.0,900.0,180.0,200.0,0.0,0.0,53
323,10760.0,800.0,220.0,160.0,0.0,0.0,54
324,11040.0,1060.0,420.0,200.0,20.0,0.0,55
325,9300.0,780.0,60.0,80.0,0.0,0.0,56
326,10380.0,900.0,140.0,200.0,0.0,0.0,57
327,10000.0,640.0,100.0,100.0,0.0,0.0,58
328,9180.0,720.0,60.0,40.0,0.0,0.0,59
329,9860.0,760.0,240.0,140.0,0.0,0.0,60
330,10860.0,780.0,320.0,160.0,20.0,0.0,61
331,10580.0,740.0,340.0,200.0,0.0,0.0,62
332,8960.0,600.0,200.0,240.0,20.0,0.0,63
333,10460.0,900.0,260.0,200.0,20.0,0.0,64
334,10800.0,820.0,240.0,120.0,0.0,0.0,65
335,10200.0,1140.0,140.0,180.0,20.0,0.0,66
336,9740.0,820.0,240.0,120.0,20.0,0.0,67
337,10260.0,740.0,120.0,240.0,40.0,0.0,68
