1
 0.3um, 0.5um, 1.0um, 2.0um, 5.0um, 10.0um 
13740, 1860, 720, 580, 20, 0 
12740, 2100, 520, 640, 40, 0 
12800, 2220, 720, 580, 20, 0 
13460, 2520, 980, 680, 40, 0 
14280, 2340, 800, 700, 20, 0 
14280, 2180, 700, 480, 0, 20 
13220, 2100, 640, 820, 40, 0 
13720, 1920, 680, 440, 60, 0 
13200, 1700, 540, 460, 20, 0 
13160, 2400, 980, 900, 40, 20 
14200, 2400, 760, , 20, 0 
13680, 2260, 780, 860, 80, 20 
13900, 2380, 820, 780, 80, 0 
13100, 2240, 820, 640, 40, 0 
13880, 1840, 620, 840, 0, 0 
14900, 1780, 900, 760, 20, 0 
12620, 2560, 860, 880, 40, 0 
13420, 2320, 760, 540, 100, 0 
13260, 2420, 700, 760, 100, 20 
13520, 2220, 820, 660, 80, 0 
16440, 1660, 700, 440, 0, 0 
, 2040, 740, 460, 20, 0 
20140, 2300, 400, 480, 0, 20 
19300, 2240, 700, 460, 40, 0 
, 2380, 880, 660, 20, 0 
17580, 2520, 620, 560, 0, 0 
14860, 1720, 400, 360, 20, 0 
14360, 1480, 540, 540, 60, 0 
16900, 2060, 640, 500, 20, 20 
, 2420, 760, 560, 40, 0 
16420, 2220, 600, 540, 60, 0 
16280, 1620, 720, 460, 80, 0 
, 2460, 540, 680, 60, 0 
19500, 2080, 780, 660, 100,  
, 2000, 500, 640, 40, 20 
, 1420, 660, 800, 20, 0 
19840, 2200, 580, 620, 60, 0 
18940, 2360, 460, 640, 0, 0 
18300, 2400, 640, 540, 20, 20 
15320, 1860, 680, 720, 20, 0 
15940, 2040, 760, 620, 60, 20 
14920, 2360, 740, 620, 20, 0 
15620, 2340, 740, 560, 100, 20 
16780, 2400, 940, 720, 60, 0 
13940, 1960, 700, 540, 0, 0 
14280, 2380, 800, 660, 60, 0 
15120, 2200, 620, 680, 0, 0 
15180, 1940, 600, 340, 0, 0 
13340, 1940, 500, 500, 0, 0 
14300, 1880, 600, 520, 20, 0 
14620, 1660, 620, 580, 0, 0 
14880, 1740, 520, 320, 0, 0 
14380, 1860, 360, 540, 20, 0 
14540, 2100, 660, 520, 20, 0 
13980, 2020, 680, 380, 20, 0 
14780, 1960, 460, 460, 40, 0 
15400, 1980, 420, 500, 40, 0 
15480, 1900, 500, 500, 20, 0 
15400, 1720, 480, 360, 80, 20 
15820, 1820, 440, 420, 60, 0 
15140, 1820, 740, 720, 20, 0 
15900, 2120, 480, 440, 60, 0 
15640, 1720, 680, 480, 40, 0 
15640, 1760, 520, 580, 20, 0 
16220, 2420, 720, 520, 20, 0 
17100, 2540, 780, 580, 0, 0 
15380, 2160, 520, 640, 20, 20 
15260, 2260, 620, 600, 60, 0 
